TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B141-H1,Sample size,65.947 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 11:48:53 AM,,
Sample start time,,5/31/2017 11:48:53 AM,,
Sample size,,65.947 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 11:48:53 AM,,
Stir,,,,
Creation time,,5/31/2017 11:48:54 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 11:49:04 AM,,
Terminated at,,Potential,,
EST,,-56.9 mV,,
VEX,,2.7500 mL,,
VEND,,2.7500 mL,,
t,,13.27 min,,
QEND,,0.027500 mmol,,
QEX,,0.027500 mmol,,
EPD,,201.8 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-56.9,21.7,
4,0.1000,-60.5,21.7,
11,0.2000,-58.7,21.7,
31,0.3000,-50.3,21.7,
51,0.4000,-35.2,21.7,
71,0.5000,-9.2,21.7,
91,0.6000,5.0,21.7,
111,0.7000,15.2,21.7,
131,0.8000,24.7,21.6,
151,0.9000,32.0,21.6,
172,1.0000,39.5,21.6,
192,1.1000,46.7,21.6,
211,1.2000,54.2,21.6,
231,1.3000,62.6,21.6,
239,1.4000,72.0,21.6,
244,1.5000,83.6,21.6,
264,1.6000,109.1,21.6,
284,1.7000,147.2,21.6,
304,1.8000,171.4,21.6,
325,1.9000,182.6,21.6,
338,2.0000,192.5,21.6,
347,2.1000,199.6,21.6,
714,2.1500,204.4,21.5,
721,2.2000,206.9,21.5,
727,2.2500,209.2,21.5,
733,2.3000,211.3,21.5,
739,2.3500,213.3,21.5,
745,2.4000,215.1,21.5,
751,2.4500,216.8,21.5,
757,2.5000,218.4,21.5,
763,2.5500,219.9,21.5,
769,2.6000,221.3,21.5,
775,2.6500,222.6,21.5,
781,2.7000,223.9,21.5,
787,2.7500,225.1,21.5,
Report,,,,
,,Creation time,5/31/2017 12:02:26 PM,
 ,,,,
5/31/2017 12:02:26 PM,SystemInternal,,1/1,
