TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B148-T2,Sample size,62.276 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 11:15:01 AM,,
Sample start time,,5/17/2017 11:15:01 AM,,
Sample size,,62.276 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 11:15:02 AM,,
Stir,,,,
Creation time,,5/17/2017 11:15:02 AM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 11:15:12 AM,,
Terminated at,,Potential,,
EST,,-70.2 mV,,
VEX,,2.3500 mL,,
VEND,,2.3500 mL,,
t,,11.03 min,,
QEND,,0.023500 mmol,,
QEX,,0.023500 mmol,,
EPD,,204.6 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-70.2,22.3,
4,0.1000,-71.0,22.3,
25,0.2000,-61.7,22.3,
45,0.3000,-41.2,22.3,
65,0.4000,-9.2,22.3,
85,0.5000,6.1,22.3,
105,0.6000,17.5,22.3,
110,0.7000,25.6,22.3,
118,0.8000,34.0,22.3,
124,0.9000,41.6,22.3,
144,1.0000,49.6,22.3,
150,1.1000,57.6,22.3,
156,1.2000,66.6,22.3,
163,1.3000,77.8,22.3,
170,1.4000,93.2,22.3,
177,1.5000,119.9,22.3,
197,1.6000,159.5,22.2,
217,1.7000,181.2,22.2,
229,1.8000,193.5,22.2,
238,1.9000,201.9,22.2,
605,1.9500,207.6,22.1,
611,2.0000,210.4,22.1,
617,2.0500,213.0,22.1,
623,2.1000,215.3,22.1,
630,2.1500,217.5,22.1,
636,2.2000,219.5,22.1,
642,2.2500,221.3,22.1,
648,2.3000,223.0,22.1,
654,2.3500,224.6,22.1,
Report,,,,
,,Creation time,5/17/2017 11:26:20 AM,
 ,,,,
5/17/2017 11:26:20 AM,SystemInternal,,1/1,
