TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,031916-B164-T14,Sample size,62.518 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 1:44:28 PM,,
Sample start time,,5/31/2017 1:44:28 PM,,
Sample size,,62.518 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 1:44:29 PM,,
Stir,,,,
Creation time,,5/31/2017 1:44:29 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 1:44:39 PM,,
Terminated at,,Potential,,
EST,,-28.3 mV,,
VEX,,2.8000 mL,,
VEND,,2.8000 mL,,
t,,13.57 min,,
QEND,,0.028000 mmol,,
QEX,,0.028000 mmol,,
EPD,,204.5 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-28.3,21.5,
18,0.1000,-39.8,21.5,
23,0.2000,-40.1,21.5,
43,0.3000,-33.7,21.5,
63,0.4000,-18.2,21.5,
83,0.5000,1.0,21.5,
103,0.6000,11.9,21.5,
123,0.7000,20.8,21.5,
143,0.8000,28.8,21.5,
163,0.9000,36.0,21.5,
184,1.0000,43.2,21.5,
189,1.1000,48.7,21.5,
194,1.2000,54.2,21.5,
214,1.3000,65.6,21.5,
220,1.4000,76.1,21.5,
240,1.5000,100.4,21.5,
260,1.6000,139.2,21.5,
280,1.7000,166.3,21.5,
300,1.8000,182.6,21.5,
321,1.9000,193.5,21.5,
336,2.0000,200.8,21.5,
705,2.0500,206.9,21.5,
713,2.1000,209.3,21.5,
720,2.1500,211.4,21.5,
728,2.2000,213.4,21.5,
736,2.2500,215.3,21.5,
742,2.3000,217.0,21.5,
750,2.3500,218.7,21.5,
757,2.4000,220.2,21.5,
762,2.4500,221.6,21.5,
769,2.5000,223.0,21.5,
775,2.5500,224.3,21.5,
781,2.6000,225.5,21.5,
787,2.6500,226.7,21.5,
793,2.7000,227.8,21.5,
799,2.7500,228.9,21.5,
804,2.8000,230.0,21.5,
Report,,,,
,,Creation time,5/31/2017 1:58:18 PM,
 ,,,,
5/31/2017 1:58:18 PM,SystemInternal,,1/1,
