TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0517-CRM4,Sample size,64.853 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 9:54:25 AM,,
Sample start time,,5/17/2017 9:54:25 AM,,
Sample size,,64.853 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 9:54:25 AM,,
Stir,,,,
Creation time,,5/17/2017 9:54:26 AM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 9:54:36 AM,,
Terminated at,,Potential,,
EST,,-2.2 mV,,
VEX,,2.4500 mL,,
VEND,,2.4500 mL,,
t,,9.7 min,,
QEND,,0.024500 mmol,,
QEX,,0.024500 mmol,,
EPD,,204.2 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-2.2,22.6,
6,0.1000,10.0,22.7,
12,0.2000,20.2,22.7,
17,0.3000,28.1,22.7,
23,0.4000,34.7,22.7,
28,0.5000,40.2,22.6,
33,0.6000,45.6,22.6,
39,0.7000,51.1,22.6,
51,0.8000,54.7,22.6,
56,0.9000,61.4,22.6,
68,1.0000,65.9,22.6,
78,1.1000,72.1,22.6,
88,1.2000,79.0,22.6,
93,1.3000,87.9,22.6,
101,1.4000,97.1,22.6,
109,1.5000,111.6,22.6,
116,1.6000,135.2,22.6,
133,1.7000,165.1,22.6,
146,1.8000,183.1,22.6,
154,1.9000,194.5,22.6,
160,2.0000,202.7,22.6,
527,2.0500,207.2,22.3,
534,2.1000,210.1,22.3,
540,2.1500,212.7,22.3,
546,2.2000,215.0,22.3,
552,2.2500,217.2,22.3,
557,2.3000,219.2,22.3,
562,2.3500,221.1,22.3,
568,2.4000,222.8,22.3,
574,2.4500,224.4,22.3,
Report,,,,
,,Creation time,5/17/2017 10:04:24 AM,
 ,,,,
5/17/2017 10:04:24 AM,SystemInternal,,1/1,
