TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0517-CRM-END,Sample size,60.921 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/17/2017 1:06:32 PM,,
Sample start time,,5/17/2017 1:06:32 PM,,
Sample size,,60.921 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/17/2017 1:06:33 PM,,
Stir,,,,
Creation time,,5/17/2017 1:06:33 PM,,
Titration (EQP) [1],,,,
Creation time,,5/17/2017 1:06:43 PM,,
Terminated at,,Potential,,
EST,,-24.3 mV,,
VEX,,2.1000 mL,,
VEND,,2.1000 mL,,
t,,10.48 min,,
QEND,,0.021000 mmol,,
QEX,,0.021000 mmol,,
EPD,,206.3 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-24.3,23.3,
7,0.1000,-25.8,23.4,
27,0.2000,-4.8,23.4,
47,0.3000,12.1,23.4,
67,0.4000,22.4,23.3,
73,0.5000,29.9,23.3,
78,0.6000,35.7,23.3,
98,0.7000,44.8,23.3,
104,0.8000,51.4,23.3,
110,0.9000,58.2,23.3,
115,1.0000,65.9,23.2,
122,1.1000,76.0,23.2,
127,1.2000,88.7,23.2,
133,1.3000,110.1,23.2,
154,1.4000,151.9,23.2,
174,1.5000,178.1,23.2,
194,1.6000,193.2,23.1,
206,1.7000,202.6,23.1,
574,1.7500,209.4,22.7,
582,1.8000,212.4,22.7,
588,1.8500,215.0,22.7,
595,1.9000,217.4,22.7,
603,1.9500,219.7,22.7,
610,2.0000,221.7,22.7,
615,2.0500,223.5,22.7,
621,2.1000,225.3,22.7,
Report,,,,
,,Creation time,5/17/2017 1:17:18 PM,
 ,,,,
5/17/2017 1:17:18 PM,SystemInternal,,1/1,
