TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-CRM-01,Sample size,62.585 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 8:44:47 AM,,
Sample start time,,5/31/2017 8:44:47 AM,,
Sample size,,62.585 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 8:44:48 AM,,
Stir,,,,
Creation time,,5/31/2017 8:44:48 AM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 8:44:58 AM,,
Terminated at,,Potential,,
EST,,-37.9 mV,,
VEX,,2.3000 mL,,
VEND,,2.3000 mL,,
t,,12.5 min,,
QEND,,0.023000 mmol,,
QEX,,0.023000 mmol,,
EPD,,208.7 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-37.9,21.7,
18,0.1000,-24.2,21.6,
38,0.2000,-11.9,21.6,
58,0.3000,-3.1,21.6,
78,0.4000,4.2,21.6,
98,0.5000,11.1,21.6,
103,0.6000,15.8,21.6,
109,0.7000,20.8,21.6,
129,0.8000,28.7,21.6,
134,0.9000,34.9,21.6,
154,1.0000,46.2,21.5,
160,1.1000,57.6,21.5,
181,1.2000,86.4,21.5,
201,1.3000,124.9,21.5,
221,1.4000,150.6,21.5,
241,1.5000,168.0,21.5,
261,1.6000,180.6,21.5,
281,1.7000,190.3,21.5,
301,1.8000,197.9,21.4,
669,1.8500,210.5,21.2,
678,1.9000,212.4,21.2,
687,1.9500,214.2,21.2,
695,2.0000,215.8,21.2,
704,2.0500,217.5,21.2,
711,2.1000,218.9,21.2,
718,2.1500,220.4,21.2,
726,2.2000,221.7,21.2,
734,2.2500,223.1,21.2,
742,2.3000,224.3,21.2,
Report,,,,
,,Creation time,5/31/2017 8:57:34 AM,
 ,,,,
5/31/2017 8:57:34 AM,SystemInternal,,1/1,
