TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-ENDCRM-1,Sample size,64.069 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 3:16:06 PM,,
Sample start time,,5/31/2017 3:16:06 PM,,
Sample size,,64.069 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 3:16:07 PM,,
Stir,,,,
Creation time,,5/31/2017 3:16:07 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 3:16:17 PM,,
Terminated at,,Potential,,
EST,,12.3 mV,,
VEX,,2.6500 mL,,
VEND,,2.6500 mL,,
t,,13.15 min,,
QEND,,0.026500 mmol,,
QEX,,0.026500 mmol,,
EPD,,207.0 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,12.3,22.6,
18,0.1000,2.2,22.7,
38,0.2000,12.3,22.7,
58,0.3000,24.2,22.6,
78,0.4000,31.7,22.6,
98,0.5000,37.6,22.6,
115,0.6000,42.8,22.6,
132,0.7000,47.8,22.6,
137,0.8000,52.1,22.5,
157,0.9000,58.2,22.5,
177,1.0000,64.7,22.5,
183,1.1000,70.8,22.5,
190,1.2000,79.1,22.5,
195,1.3000,89.4,22.5,
216,1.4000,117.4,22.5,
236,1.5000,152.2,22.5,
256,1.6000,174.1,22.4,
276,1.7000,188.0,22.4,
296,1.8000,197.5,22.4,
309,1.9000,204.0,22.4,
677,1.9500,209.3,22.1,
687,2.0000,211.5,22.1,
694,2.0500,213.4,22.1,
701,2.1000,215.3,22.1,
710,2.1500,217.1,22.1,
718,2.2000,218.8,22.1,
726,2.2500,220.3,22.1,
732,2.3000,221.8,22.1,
740,2.3500,223.2,22.1,
747,2.4000,224.5,22.1,
754,2.4500,225.8,22.0,
761,2.5000,227.0,22.1,
767,2.5500,228.1,22.0,
774,2.6000,229.2,22.0,
780,2.6500,230.2,22.0,
Report,,,,
,,Creation time,5/31/2017 3:29:32 PM,
 ,,,,
5/31/2017 3:29:32 PM,SystemInternal,,1/1,
