TA titration report,,, ,
Summary,,,,
Samples,,,,
,Sample ID,Name,Result,State
1,0531-MIDDAYCRM-02,Sample size,70.471 g,
Raw Results,,,,
"Scope 1/1, Sample 1/1",,,,
Sample,,,,
Creation time,,5/31/2017 1:24:50 PM,,
Sample start time,,5/31/2017 1:24:50 PM,,
Sample size,,70.471 g,,
Correction factor,,1.0,,
Temperature,,25.0 °C,,
Density,,1.05 g/mL,,
Titration stand,,,,
Creation time,,5/31/2017 1:24:51 PM,,
Stir,,,,
Creation time,,5/31/2017 1:24:51 PM,,
Titration (EQP) [1],,,,
Creation time,,5/31/2017 1:25:01 PM,,
Terminated at,,Potential,,
EST,,-19.3 mV,,
VEX,,3.0000 mL,,
VEND,,3.0000 mL,,
t,,13.92 min,,
QEND,,0.030000 mmol,,
QEX,,0.030000 mmol,,
EPD,,205.9 mV,,
nEQ,,0,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,
E - V Curve,"Scope 1/1, Sample 1/1",,,
E [mV],,,,
Measured Values,"Scope 1/1, Sample 1/1",,,
Time,V,Meas. value,Temp.,
[s],[mL],[mV],[°C],
0,0.0000,-19.3,22.4,
5,0.1000,-21.0,22.4,
26,0.2000,-8.4,22.4,
46,0.3000,9.5,22.4,
66,0.4000,19.2,22.4,
86,0.5000,26.6,22.3,
106,0.6000,33.1,22.3,
126,0.7000,38.9,22.3,
146,0.8000,44.6,22.3,
165,0.9000,50.1,22.3,
182,1.0000,55.7,22.3,
199,1.1000,62.0,22.3,
204,1.2000,67.9,22.3,
224,1.3000,77.4,22.3,
229,1.4000,87.1,22.3,
249,1.5000,107.9,22.2,
269,1.6000,140.7,22.2,
290,1.7000,165.3,22.2,
310,1.8000,180.2,22.2,
325,1.9000,189.8,22.2,
338,2.0000,196.9,22.2,
348,2.1000,202.5,22.2,
716,2.1500,208.0,22.0,
724,2.2000,209.9,22.0,
731,2.2500,211.7,22.0,
738,2.3000,213.5,22.0,
744,2.3500,215.1,22.0,
750,2.4000,216.5,22.0,
756,2.4500,218.0,22.0,
763,2.5000,219.4,22.0,
769,2.5500,220.7,22.0,
776,2.6000,221.9,22.0,
782,2.6500,223.1,22.0,
788,2.7000,224.2,22.0,
794,2.7500,225.3,22.0,
801,2.8000,226.3,22.0,
807,2.8500,227.3,22.0,
813,2.9000,228.3,22.0,
819,2.9500,229.2,22.0,
825,3.0000,230.1,21.9,
Report,,,,
,,Creation time,5/31/2017 1:39:02 PM,
 ,,,,
5/31/2017 1:39:02 PM,SystemInternal,,1/1,
