id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
scaffold100-208	4	7.979e-01	5.891e+00	3.836e+00	1.246e-01	5.310e-01	2.836e-01	3.720e+01	3.295e+01	5.109e+00	3.161e+00
scaffold10014-2815	4	7.750e-01	3.823e+00	3.450e+00	2.678e-01	5.455e-01	2.811e-01	3.756e+01	3.292e+01	4.955e+00	3.181e+00
scaffold100167-2221	4	7.863e-01	4.110e+00	2.847e+00	1.487e-01	5.351e-01	2.853e-01	3.817e+01	3.356e+01	3.273e+00	3.016e+00
scaffold100167-2282	4	7.803e-01	5.107e+00	3.127e+00	1.024e-01	5.350e-01	2.828e-01	4.371e+01	3.555e+01	3.398e+00	3.189e+00
scaffold100167-3284	4	7.714e-01	6.319e+00	4.143e+00	1.272e-01	5.240e-01	2.872e-01	4.736e+01	3.472e+01	3.885e+00	3.294e+00
scaffold100167-4231	4	6.683e-01	3.102e+00	3.179e+00	3.292e-01	5.055e-01	2.810e-01	6.928e+01	3.836e+01	6.795e+00	4.056e+00
scaffold100167-11481	4	7.765e-01	5.967e+00	3.972e+00	1.330e-01	5.220e-01	2.888e-01	4.142e+01	3.346e+01	4.530e+00	3.008e+00
scaffold100167-11569	4	7.944e-01	4.816e+00	2.923e+00	9.945e-02	5.172e-01	2.854e-01	3.241e+01	3.259e+01	2.905e+00	2.951e+00
scaffold100204-4766	4	7.706e-01	4.883e+00	3.702e+00	1.872e-01	5.280e-01	2.915e-01	4.217e+01	3.403e+01	4.793e+00	3.151e+00
scaffold100204-4768	4	7.765e-01	1.941e+00	2.152e+00	3.670e-01	5.152e-01	2.838e-01	3.855e+01	3.572e+01	4.883e+00	3.264e+00
scaffold100204-6181	4	7.588e-01	4.628e+00	3.515e+00	1.880e-01	5.250e-01	2.879e-01	4.997e+01	3.567e+01	4.958e+00	3.439e+00
scaffold100204-6188	4	7.615e-01	3.642e+00	3.212e+00	2.568e-01	5.128e-01	2.853e-01	4.943e+01	3.596e+01	5.317e+00	3.432e+00
scaffold100204-6271	4	7.899e-01	6.266e+00	3.708e+00	9.105e-02	5.220e-01	2.864e-01	3.816e+01	3.277e+01	4.042e+00	2.935e+00
scaffold100204-10990	4	7.866e-01	6.597e+00	3.726e+00	7.662e-02	5.350e-01	2.828e-01	3.789e+01	3.438e+01	4.215e+00	3.130e+00
scaffold100204-11010	4	7.627e-01	4.175e+00	3.360e+00	2.140e-01	5.207e-01	2.856e-01	5.093e+01	3.575e+01	5.822e+00	3.514e+00
scaffold100204-12431	4	7.311e-01	4.209e+00	3.439e+00	2.210e-01	5.166e-01	2.815e-01	5.569e+01	3.651e+01	6.612e+00	3.967e+00
scaffold100208-3080	4	8.222e-01	7.194e+00	3.712e+00	5.264e-02	5.366e-01	2.819e-01	2.275e+01	2.744e+01	3.847e+00	2.764e+00
